Title,Production Budget,Release Date
"Lock, Stock and Two Smoking Barrels","$1,350,000",Mar 05 1999
The Last Shot,"$40,000,000",Sep 24 2004
Lonesome Jim,"$500,000",Mar 24 2006
The Last Legion,"$67,000,000",Aug 17 2007
The Last Samurai,"$120,000,000",Dec 05 2003
The Last Sin Eater,"$2,200,000",Feb 09 2007
The Last Song,"$20,000,000",Mar 31 2010
Love Stinks,"$4,000,000",Sep 10 1999
Lost in Translation,"$4,000,000",Sep 12 2003
Last Orders,"$12,000,000",Feb 15 2002
Lost Souls,"$28,000,000",Oct 13 2000
The Last Station,"$18,000,000",Jan 15 2010
The Lost World: Jurassic Park,"$75,000,000",May 22 1997
License to Wed,"$35,000,000",Jul 03 2007
Looney Tunes: Back in Action,"$80,000,000",Nov 14 2003
Letters to God,"$3,000,000",Apr 09 2010
Lethal Weapon 4,"$140,000,000",Jul 10 1998
Little Man,"$64,000,000",Jul 14 2006
The Lucky Ones,"$14,000,000",Sep 26 2008
Lucky You,"$55,000,000",May 04 2007
Luminarias,"$1,000,000",May 05 2000
Se jie,"$15,000,000",Sep 28 2007
Luther,"$35,000,000",Sep 26 2003
Love Actually,"$45,000,000",Nov 07 2003
The Little Vampire,"$22,000,000",Oct 27 2000
The Lovely Bones,"$65,000,000",Dec 11 2009
Herbie: Fully Loaded,"$50,000,000",Jun 22 2005
For Love of the Game,"$50,000,000",Sep 17 1999
Leaves of Grass,"$9,000,000",Apr 02 2010
Love Happens,"$18,000,000",Sep 18 2009
Just Visiting,"$40,000,000",Apr 06 2001
Das Leben der Anderen,"$2,000,000",Feb 09 2007
Love Ranch,"$25,000,000",Jun 30 2010
La MÙme,"$15,500,000",Jun 08 2007
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000",Dec 09 2005
The Longest Yard,"$82,000,000",May 27 2005
Mad City,"$50,000,000",Nov 07 1997
Made,"$5,000,000",Jul 13 2001
Madagascar: Escape 2 Africa,"$150,000,000",Nov 07 2008
Madagascar,"$75,000,000",May 27 2005
Mad Hot Ballroom,"$500,000",May 13 2005
Madison,"$14,000,000",Apr 22 2005
Jane Austen's Mafia,"$10,000,000",Jul 24 1998
Paul Blart: Mall Cop,"$26,000,000",Jan 16 2009
A Man Apart,"$36,000,000",Apr 04 2003
Man on Fire,"$60,000,000",Apr 23 2004
Man of the House,"$50,000,000",Feb 25 2005
Man on the Moon,"$52,000,000",Dec 22 1999
The Man Who Knew Too Little,"$20,000,000",Nov 14 1997
Marci X,"$20,000,000",Aug 22 2003
Married Life,"$12,000,000",Mar 07 2008
The Marine,"$15,000,000",Oct 13 2006
Son of the Mask,"$100,000,000",Feb 18 2005
The Matador,"$10,000,000",Dec 30 2005
The Matrix,"$65,000,000",Mar 31 1999
Max Keeble's Big Move,"$12,000,000",Oct 05 2001
May,"$1,750,000",Feb 07 2003
Murderball,"$350,000",Jul 08 2005
Vicky Cristina Barcelona,"$16,000,000",Aug 15 2008
My Big Fat Greek Wedding,"$5,000,000",Apr 19 2002
My Best Friend's Girl,"$20,000,000",Sep 19 2008
Monkeybone,"$75,000,000",Feb 23 2001
Meet the Browns,"$20,000,000",Mar 21 2008
My Bloody Valentine,"$14,000,000",Jan 16 2009
Wu ji,"$30,000,000",May 05 2006
McHale's Navy,"$42,000,000",Apr 18 1997
The Martian Child,"$27,000,000",Nov 02 2007
The Manchurian Candidate,"$80,000,000",Jul 30 2004
Mickey Blue Eyes,"$40,000,000",Aug 20 1999
Michael Clayton,"$21,500,000",Oct 05 2007
Master and Commander: The Far Side of the World,"$135,000,000",Nov 14 2003
Nanny McPhee and the Big Bang,"$35,000,000",Aug 20 2010
Nanny McPhee,"$25,000,000",Jan 27 2006
Mean Creek,"$500,000",Aug 20 2004
The Medallion,"$41,000,000",Aug 22 2003
Meet Dave,"$60,000,000",Jul 11 2008
Million Dollar Baby,"$30,000,000",Dec 15 2004
Madea Goes To Jail,"$17,500,000",Feb 20 2009
Made of Honor,"$40,000,000",May 02 2008
Mean Girls,"$18,000,000",Apr 30 2004
Mean Machine,"$4,500,000",Feb 22 2002
Meet the Deedles,"$24,000,000",Mar 27 1998
"Me, Myself & Irene","$51,000,000",Jun 23 2000
Memoirs of a Geisha,"$85,000,000",Dec 09 2005
Men in Black,"$90,000,000",Jul 01 1997
Men of Honor,"$32,000,000",Nov 10 2000
Memento,"$5,000,000",Mar 16 2001
Mercury Rising,"$60,000,000",Apr 03 1998
Mercy Streets,"$600,000",Oct 31 2000
Joyeux NoÎl,"$22,000,000",Mar 03 2006
Message in a Bottle,"$30,000,000",Feb 12 1999
Meet Joe Black,"$85,000,000",Nov 13 1998
Maria Full of Grace,"$3,200,000",Jul 16 2004
Megiddo: Omega Code 2,"$22,000,000",Sep 21 2001
Magnolia,"$37,000,000",Dec 17 1999
The Men Who Stare at Goats,"$24,000,000",Nov 06 2009
Marilyn Hotchkiss' Ballroom Dancing and Charm School,"$2,500,000",Mar 31 2006
Men in Black 2,"$140,000,000",Jul 03 2002
Micmacs,"$42,000,000",May 28 2010
The House of Mirth,"$10,000,000",Dec 22 2000
Miss Congeniality 2: Armed and Fabulous,"$60,000,000",Mar 24 2005
Mission: Impossible 2,"$120,000,000",May 24 2000
Mission: Impossible III,"$150,000,000",May 05 2006
Miss Congeniality,"$45,000,000",Dec 22 2000
The Missing,"$65,000,000",Nov 26 2003
Mighty Joe Young,"$80,000,000",Dec 25 1998
The Majestic,"$72,000,000",Dec 21 2001
Martin Lawrence Live: RunTelDat,"$3,000,000",Aug 02 2002
Malibu's Most Wanted,"$15,000,000",Apr 18 2003
Must Love Dogs,"$35,000,000",Jul 29 2005
My Life Without Me,"$2,500,000",Sep 26 2003
Mission to Mars,"$90,000,000",Mar 10 2000
MirrorMask,"$4,000,000",Sep 30 2005
Mumford,"$28,700,000",Sep 24 1999
Mindhunters,"$27,000,000",May 13 2005
Captain Corelli's Mandolin,"$57,000,000",Aug 17 2001
Manderlay,"$14,200,000",Jan 27 2006
Midnight in the Garden of Good and Evil,"$35,000,000",Nov 21 1997
The Man in the Iron Mask,"$35,000,000",Mar 13 1998
Monster-in-Law,"$45,000,000",May 13 2005
Moonlight Mile,"$21,000,000",Sep 27 2002
Mona Lisa Smile,"$65,000,000",Dec 19 2003
Monster's Ball,"$4,000,000",Dec 26 2001
MoliËre,"$21,600,000",Jul 27 2007
Molly,"$21,000,000",Oct 22 1999
Monster House,"$75,000,000",Jul 21 2006
Mononoke-hime,"$20,000,000",Oct 29 1999
Monsoon Wedding,"$1,200,000",Feb 22 2002
Monster,"$5,000,000",Dec 24 2003
"Monsters, Inc.","$115,000,000",Nov 02 2001
Mondays in the Sun,"$4,000,000",Jul 25 2003
Money Talks,"$25,000,000",Aug 22 1997
Moon,"$5,000,000",Jun 12 2009
Welcome to Mooseport,"$26,000,000",Feb 20 2004
Morvern Callar,"$6,000,000",Dec 20 2002
The Mothman Prophecies,"$42,000,000",Jan 25 2002
Moulin Rouge,"$53,000,000",May 18 2001
Me and Orson Welles,"$25,000,000",Nov 25 2009
Meet the Fockers,"$60,000,000",Dec 22 2004
Meet the Parents,"$55,000,000",Oct 06 2000
Mr. 3000,"$30,000,000",Sep 17 2004
The Miracle,"$28,000,000",Feb 06 2004
Minority Report,"$102,000,000",Jun 21 2002
The Fantastic Mr. Fox,"$40,000,000",Nov 13 2009
Mr. Nice Guy,"$6,000,000",Mar 20 1998
Mrs. Henderson Presents,"$20,000,000",Dec 09 2005
Mortal Kombat: Annihilation,"$30,000,000",Nov 21 1997
Marvin's Room,"$23,000,000",Dec 20 1996
Miracle at St. Anna,"$45,000,000",Sep 26 2008
Mouse Hunt,"$38,000,000",Dec 19 1997
Masked and Anonymous,"$7,500,000",Jul 24 2003
Miss Potter,"$30,000,000",Dec 29 2006
The Missing Person,"$2,000,000",Nov 20 2009
Meet the Spartans,"$30,000,000",Jan 25 2008
"Mystery, Alaska","$28,000,000",Oct 01 1999
Match Point,"$15,000,000",Dec 28 2005
Mother and Child,"$7,000,000",May 07 2010
A Mighty Heart,"$15,000,000",Jun 22 2007
Metropolis (2002),"$15,000,000",Jan 25 2002
The Matrix Reloaded,"$127,000,000",May 15 2003
The Matrix Revolutions,"$110,000,000",Nov 05 2003
The Mudge Boy,"$800,000",May 07 2004
Mulan,"$90,000,000",Jun 19 1998
Mulholland Drive,"$15,000,000",Oct 08 2001
The Mummy,"$80,000,000",May 07 1999
The Mummy Returns,"$98,000,000",May 04 2001
The Mummy: Tomb of the Dragon Emperor,"$175,000,000",Aug 01 2008
Munich,"$75,000,000",Dec 23 2005
Muppets From Space,"$24,000,000",Jul 14 1999
Murder by Numbers,"$50,000,000",Apr 19 2002
The Muse,"$15,000,000",Aug 27 1999
Night at the Museum,"$110,000,000",Dec 22 2006
The Musketeer,"$40,000,000",Sep 07 2001
Music and Lyrics,"$40,000,000",Feb 14 2007
The Merchant of Venice,"$30,000,000",Dec 29 2004
Miami Vice,"$135,000,000",Jul 28 2006
Monsters vs. Aliens,"$175,000,000",Mar 27 2009
A Mighty Wind,"$6,000,000",Apr 16 2003
The Mexican,"$40,000,000",Mar 02 2001
My Best Friend's Wedding,"$46,000,000",Jun 20 1997
"Dude, Where's My Car?","$14,000,000",Dec 15 2000
My Dog Skip,"$7,000,000",Jan 12 2000
My Date With Drew,"$1,100",Aug 05 2005
Me and You and Everyone We Know,"$2,000,000",Jun 17 2005
My Favorite Martian,"$60,000,000",Feb 12 1999
My Fellow Americans,"$21,500,000",Dec 20 1996
My Sister's Keeper,"$27,500,000",Jun 26 2009
My Summer of Love,"$1,700,000",Jun 17 2005
The Mystery Men,"$68,000,000",Aug 06 1999
Mystic River,"$30,000,000",Oct 08 2003
Nacho Libre,"$32,000,000",Jun 16 2006
Narc,"$7,500,000",Dec 20 2002
The Chronicles of Narnia: Prince Caspian,"$225,000,000",May 16 2008
National Treasure,"$100,000,000",Nov 19 2004
The Nativity Story,"$35,000,000",Dec 01 2006
Never Back Down,"$21,000,000",Mar 14 2008
Into the Blue,"$50,000,000",Sep 30 2005
Shinjuku Incident,"$25,000,000",Feb 05 2010
No Country for Old Men,"$25,000,000",Nov 09 2007
The Incredibles,"$92,000,000",Nov 05 2004
The Negotiator,"$50,000,000",Jul 29 1998
A Nightmare on Elm Street,"$35,000,000",Apr 30 2010
Not Easily Broken,"$5,000,000",Jan 09 2009
The New Guy,"$13,000,000",May 10 2002
The Newton Boys,"$27,000,000",Mar 27 1998
The Next Best Thing,"$25,000,000",Mar 03 2000
Northfork,"$1,900,000",Jul 11 2003
In Good Company,"$26,000,000",Dec 29 2004
Notting Hill,"$42,000,000",May 28 1999
Little Nicky,"$80,000,000",Nov 10 2000
Nicholas Nickleby,"$10,000,000",Dec 27 2002
Nim's Island,"$37,000,000",Apr 04 2008
Ninja Assassin,"$50,000,000",Nov 25 2009
The Ninth Gate,"$38,000,000",Mar 10 2000
Never Let Me Go,"$15,000,000",Sep 15 2010
Lucky Numbers,"$65,000,000",Oct 27 2000
Night at the Museum: Battle of the Smithsonian,"$150,000,000",May 22 2009
Nick and Norah's Infinite Playlist,"$10,000,000",Oct 03 2008
Notorious,"$19,000,000",Jan 16 2009
No End In Sight,"$2,000,000",Jul 27 2007
Nomad,"$40,000,000",Mar 16 2007
No Man's Land,"$1,000,000",Dec 07 2001
No Reservations,"$28,000,000",Jul 27 2007
The Notebook,"$30,000,000",Jun 25 2004
November,"$250,000",Jul 22 2005
Novocaine,"$6,000,000",Nov 16 2001
Nowhere in Africa,"$6,500,000",Mar 07 2003
Napoleon Dynamite,"$400,000",Jun 11 2004
North Country,"$30,000,000",Oct 21 2005
The Namesake,"$8,500,000",Mar 09 2007
Inside Deep Throat,"$2,000,000",Feb 11 2005
Intolerable Cruelty,"$60,000,000",Oct 10 2003
The Interpreter,"$90,000,000",Apr 22 2005
The Night Listener,"$4,000,000",Aug 04 2006
The International,"$50,000,000",Feb 13 2009
The Number 23,"$32,000,000",Feb 23 2007
Nurse Betty,"$24,000,000",Sep 08 2000
Jimmy Neutron: Boy Genius,"$25,000,000",Dec 21 2001
Nutty Professor II: The Klumps,"$84,000,000",Jul 28 2000
Never Again,"$500,000",Jul 12 2002
Finding Neverland,"$25,000,000",Nov 12 2004
Into the Wild,"$20,000,000",Sep 21 2007
The New World,"$30,000,000",Dec 25 2005
Nochnoy dozor,"$4,200,000",Feb 17 2006
New York Minute,"$40,000,000",May 07 2004
The Object of my Affection,"$15,000,000",Apr 17 1998
Orange County,"$18,000,000",Jan 11 2002
Ocean's Eleven,"$110,000,000",Dec 07 2001
Ocean's Twelve,"$85,000,000",Dec 10 2004
Ocean's Thirteen,"$85,000,000",Jun 08 2007
Oceans,"$80,000,000",Apr 22 2010
Office Space,"$10,000,000",Feb 19 1999
White Oleander,"$16,000,000",Oct 11 2002
The Omen,"$25,000,000",Jun 06 2006
Any Given Sunday,"$60,000,000",Dec 22 1999
Once,"$150,000",Jun 16 2007
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,"$1,000,000",Jul 07 2006
One Hour Photo,"$12,000,000",Aug 21 2002
One True Thing,"$30,000,000",Sep 18 1998
Ong-Bak 2,"$15,000,000",Sep 25 2009
On the Line,"$10,000,000",Oct 26 2001
One Night with the King,"$20,000,000",Oct 13 2006
Opal Dreams,"$9,000,000",Nov 22 2006
Open Season,"$85,000,000",Sep 29 2006
Open Water,"$500,000",Aug 06 2004
Open Range,"$26,000,000",Aug 15 2003
The Order,"$35,000,000",Sep 05 2003
Orgazmo,"$1,000,000",Oct 23 1998
Original Sin,"$26,000,000",Aug 03 2001
Osama,"$500,000",Jan 30 2004
Oscar and Lucinda,"$12,500,000",Dec 31 1997
Old School,"$24,000,000",Feb 21 2003
Osmosis Jones,"$70,000,000",Aug 10 2001
American Outlaws,"$35,000,000",Aug 17 2001
Oliver Twist,"$65,000,000",Sep 23 2005
Out Cold,"$11,000,000",Nov 21 2001
Outlander,"$50,000,000",Jan 23 2009
Out of Sight,"$48,000,000",Jun 26 1998
Out of Time,"$50,000,000",Oct 03 2003
The Out-of-Towners,"$40,000,000",Apr 02 1999
Owning Mahowny,"$10,000,000",May 02 2003
The Pacifier,"$56,000,000",Mar 04 2005
El Laberinto del Fauno,"$16,000,000",Dec 29 2006
The Passion of the Christ,"$25,000,000",Feb 25 2004
Patch Adams,"$50,000,000",Dec 25 1998
Payback,"$50,000,000",Feb 05 1999
Paycheck,"$60,000,000",Dec 25 2003
Max Payne,"$35,000,000",Oct 17 2008
The Princess Diaries 2: Royal Engagement,"$45,000,000",Aug 11 2004
The Princess Diaries,"$30,000,000",Aug 03 2001
The Peacemaker,"$50,000,000",Sep 26 1997
Peter Pan,"$100,000,000",Dec 25 2003
People I Know,"$20,000,000",Apr 25 2003
Perrier's Bounty,"$6,600,000",May 21 2010
A Perfect Getaway,"$14,000,000",Aug 07 2009
Phat Girlz,"$3,000,000",Apr 07 2006
Poolhall Junkies,"$4,000,000",Feb 28 2003
The Phantom of the Opera,"$55,000,000",Dec 22 2004
Phone Booth,"$11,000,000",Apr 04 2003
The Pianist,"$35,000,000",Dec 27 2002
The Pink Panther,"$80,000,000",Feb 10 2006
Pirates of the Caribbean: The Curse of the Black Pearl,"$125,000,000",Jul 09 2003
Pirates of the Caribbean: Dead Man's Chest,"$225,000,000",Jul 07 2006
Pirates of the Caribbean: At World's End,"$300,000,000",May 25 2007
The Chronicles of Riddick,"$120,000,000",Jun 11 2004
Pitch Black,"$23,000,000",Feb 18 2000
Play it to the Bone,"$24,000,000",Dec 24 1999
Screwed,"$12,000,000",May 12 2000
Percy Jackson & the Olympians: The Lightning Thief,"$95,000,000",Feb 12 2010
"Paris, je t'aime","$13,000,000",May 04 2007
Princess Kaiulani,"$9,000,000",May 14 2010
Lake Placid,"$27,000,000",Jul 16 1999
The Back-up Plan,"$35,000,000",Apr 23 2010
The Pledge,"$45,000,000",Jan 19 2001
Proof of Life,"$65,000,000",Dec 08 2000
Pollock,"$6,000,000",Dec 15 2000
Planet of the Apes,"$100,000,000",Jul 27 2001
Please Give,"$3,000,000",Apr 30 2010
Planet 51,"$50,000,000",Nov 20 2009
The Adventures of Pluto Nash,"$100,000,000",Aug 16 2002
The Players Club,"$5,000,000",Apr 08 1998
Paranormal Activity,"$15,000",Sep 25 2009
The Pineapple Express,"$26,000,000",Aug 06 2008
Pinocchio,"$45,000,000",Dec 25 2002
Pandaemonium,"$15,000,000",Jun 29 2001
Pandorum,"$40,000,000",Sep 25 2009
The Punisher,"$33,000,000",Apr 16 2004
Pokemon 2000,"$30,000,000",Jul 21 2000
Pokemon 3: The Movie,"$3,000,000",Apr 06 2001
The Polar Express,"$170,000,000",Nov 10 2004
Along Came Polly,"$42,000,000",Jan 16 2004
Gake no ue no Ponyo,"$34,000,000",Aug 14 2009
Pootie Tang,"$3,500,000",Jun 29 2001
Poseidon,"$160,000,000",May 12 2006
Possession,"$25,000,000",Aug 16 2002
Peter Pan: Return to Neverland,"$20,000,000",Feb 15 2002
Practical Magic,"$60,000,000",Oct 16 1998
The Devil Wears Prada,"$35,000,000",Jun 30 2006
The Boat That Rocked,"$50,000,000",Nov 13 2009
Paparazzi,"$20,000,000",Sep 03 2004
Primary Colors,"$65,000,000",Mar 20 1998
Precious (Based on the Novel Push by Sapphire),"$10,000,000",Nov 06 2009
Pride and Glory,"$30,000,000",Oct 24 2008
Pride and Prejudice,"$28,000,000",Nov 11 2005
The Road to Perdition,"$80,000,000",Jul 12 2002
Predators,"$40,000,000",Jul 09 2010
Prefontaine,"$8,000,000",Jan 24 1997
Perfume: The Story of a Murderer,"$63,700,000",Dec 27 2006
The Prince & Me,"$30,000,000",Apr 02 2004
The Perfect Man,"$10,000,000",Jun 17 2005
The Pursuit of Happyness,"$55,000,000",Dec 15 2006
Primer,"$7,000",Oct 08 2004
Pearl Harbor,"$151,500,000",May 25 2001
Premonition,"$20,000,000",Mar 16 2007
The Prince of Egypt,"$60,000,000",Dec 18 1998
The Producers: The Movie Musical,"$45,000,000",Dec 16 2005
Prom Night,"$18,000,000",Apr 11 2008
Proof,"$20,000,000",Sep 16 2005
Panic Room,"$48,000,000",Mar 29 2002
The Proposal,"$40,000,000",Jun 19 2009
Prince of Persia: Sands of Time,"$200,000,000",May 28 2010
The Prestige,"$40,000,000",Oct 20 2006
The Party's Over,"$1,000,000",Oct 24 2003
The Postman,"$80,000,000",Dec 25 1997
Psycho Beach Party,"$4,000,000",Aug 04 2000
Psycho,"$20,000,000",Dec 04 1998
The Patriot,"$110,000,000",Jun 28 2000
Public Enemies,"$102,500,000",Jul 01 2009
The Powerpuff Girls,"$25,000,000",Jul 03 2002
Pulse,"$7,500,000",Aug 11 2006
Punch-Drunk Love,"$25,000,000",Oct 11 2002
Punisher: War Zone,"$35,000,000",Dec 05 2008
Push,"$38,000,000",Feb 06 2009
Pushing Tin,"$33,000,000",Apr 23 1999
The Painted Veil,"$19,400,000",Dec 20 2006
Pay it Forward,"$40,000,000",Oct 20 2000
Queen of the Damned,"$35,000,000",Feb 22 2002
The Quiet American,"$20,000,000",Nov 22 2002
All the Queen's Men,"$15,000,000",Oct 25 2002
Quarantine,"$12,000,000",Oct 10 2008
The Queen,"$15,000,000",Sep 30 2006
Quest for Camelot,"$40,000,000",May 15 1998
The Quiet,"$900,000",Aug 25 2006
Quinceanera,"$400,000",Aug 02 2006
Rabbit-Proof Fence,"$7,000,000",Nov 29 2002
Radio,"$35,000,000",Oct 24 2003
The Rainmaker,"$40,000,000",Nov 21 1997
Rambo,"$47,500,000",Jan 25 2008
Random Hearts,"$64,000,000",Oct 08 1999
Rugrats in Paris,"$30,000,000",Nov 17 2000
Rugrats Go Wild,"$25,000,000",Jun 13 2003
Ratatouille,"$150,000,000",Jun 29 2007
Ray,"$40,000,000",Oct 29 2004
BloodRayne,"$25,000,000",Jan 06 2006
Rollerball,"$70,000,000",Feb 08 2002
Robin Hood,"$210,000,000",May 14 2010
Robots,"$80,000,000",Mar 11 2005
A Room for Romeo Brass,"$5,250,000",Oct 27 2000
Runaway Bride,"$70,000,000",Jul 30 1999
Racing Stripes,"$30,000,000",Jan 14 2005
Rocky Balboa,"$24,000,000",Dec 20 2006
The Road to El Dorado,"$95,000,000",Mar 31 2000
Riding Giants,"$2,600,000",Jul 09 2004
Red Dragon,"$78,000,000",Oct 04 2002
The Reader,"$33,000,000",Dec 10 2008
The Reaping,"$40,000,000",Apr 05 2007
Rebound,"$45,000,000",Jul 01 2005
Recess: School's Out,"$10,000,000",Feb 16 2001
Redacted,"$5,000,000",Nov 16 2007
Red-Eye,"$26,000,000",Aug 19 2005
Reign Over Me,"$20,000,000",Mar 23 2007
The Relic,"$60,000,000",Jan 10 1997
Religulous,"$2,500,000",Oct 01 2008
Remember Me,"$16,000,000",Mar 12 2010
"Remember Me, My Love","$6,700,000",Sep 03 2004
Rent,"$40,000,000",Nov 23 2005
The Replacements,"$50,000,000",Aug 11 2000
The Replacement Killers,"$30,000,000",Feb 06 1998
Resident Evil: Apocalypse,"$50,000,000",Sep 10 2004
Resident Evil: Extinction,"$45,000,000",Sep 21 2007
Resident Evil: Afterlife 3D,"$57,500,000",Sep 10 2010
Resident Evil,"$35,000,000",Mar 15 2002
Return to Me,"$24,000,000",Apr 07 2000
Revolutionary Road,"$35,000,000",Dec 26 2008
Be Kind Rewind,"$20,000,000",Feb 22 2008
Reign of Fire,"$60,000,000",Feb 19 2002
Reindeer Games,"$36,000,000",Feb 25 2000
Rachel Getting Married,"$12,000,000",Oct 03 2008
The Rugrats Movie,"$28,000,000",Nov 20 1998
Riding in Cars with Boys,"$47,000,000",Oct 19 2001
Ride With the Devil,"$35,000,000",Nov 24 1999
The Ring Two,"$50,000,000",Mar 18 2005
Rize,"$700,000",Jun 24 2005
The Adventures of Rocky & Bullwinkle,"$76,000,000",Jun 30 2000
All the Real Girls,"$1,000,000",Feb 14 2003
Real Women Have Curves,"$3,000,000",Oct 18 2002
Son of Rambow: A Home Movie,"$2,000,000",May 02 2008
Romance and Cigarettes,"$11,000,000",Sep 07 2007
Reno 911!: Miami,"$10,000,000",Feb 23 2007
Rounders,"$12,000,000",Sep 11 1998
Rendition,"$27,500,000",Oct 19 2007
The Rocker,"$15,000,000",Aug 20 2008
Rock Star,"$38,000,000",Sep 07 2001
The Rookie,"$22,000,000",Mar 29 2002
Roll Bounce,"$10,000,000",Sep 23 2005
Romeo Must Die,"$25,000,000",Mar 22 2000
Ronin,"$55,000,000",Sep 25 1998
The Ballad of Jack and Rose,"$1,500,000",Mar 25 2005
Red Planet,"$80,000,000",Nov 10 2000
Requiem for a Dream,"$4,500,000",Oct 06 2000
Rat Race,"$48,000,000",Aug 17 2001
Rescue Dawn,"$10,000,000",Jul 04 2007
The Real Cancun,"$4,000,000",Apr 25 2003
Restless,"$15,000,000",Jan 28 2011
Remember the Titans,"$30,000,000",Sep 29 2000
Righteous Kill,"$60,000,000",Sep 12 2008
Road Trip,"$16,000,000",May 19 2000
The Ruins,"$25,000,000",Apr 04 2008
Rules of Engagement,"$60,000,000",Apr 07 2000
The Rundown,"$85,000,000",Sep 26 2003
Running Scared,"$17,000,000",Feb 24 2006
Running With Scissors,"$12,000,000",Oct 20 2006
Rush Hour 2,"$90,000,000",Aug 03 2001
Rush Hour 3,"$180,000,000",Aug 10 2007
Rush Hour,"$35,000,000",Sep 18 1998
Rushmore,"$10,000,000",Dec 11 1998
R.V.,"$55,000,000",Apr 28 2006
Ravenous,"$12,000,000",Mar 19 1999
Raise Your Voice,"$15,000,000",Oct 08 2004
Hotel Rwanda,"$17,500,000",Dec 22 2004
Sahara,"$145,000,000",Apr 08 2005
The Saint,"$90,000,000",Apr 04 1997
The Salon,"$1,500,000",May 11 2007
I Am Sam,"$22,000,000",Dec 28 2001
The Salton Sea,"$18,000,000",Apr 26 2002
Sex and the City 2,"$95,000,000",May 27 2010
Saved!,"$5,000,000",May 28 2004
Saving Silverman,"$22,000,000",Feb 09 2001
Saw,"$1,200,000",Oct 29 2004
Saw II,"$5,000,000",Oct 28 2005
Saw III,"$10,000,000",Oct 27 2006
Saw IV,"$10,000,000",Oct 26 2007
Saw V,"$10,800,000",Oct 24 2008
Saw VI,"$11,000,000",Oct 23 2009
Say It Isn't So,"$25,000,000",Mar 23 2001
Say Uncle,"$2,000,000",Jun 23 2006
The Adventures of Sharkboy and Lavagirl in 3-D,"$50,000,000",Jun 10 2005
Seabiscuit,"$86,000,000",Jul 25 2003
A Scanner Darkly,"$20,000,000",Jul 07 2006
Scary Movie 2,"$45,000,000",Jul 04 2001
Scary Movie 3,"$45,000,000",Oct 24 2003
Scary Movie 4,"$40,000,000",Apr 14 2006
Scooby-Doo 2: Monsters Unleashed,"$25,000,000",Mar 26 2004
Scooby-Doo,"$84,000,000",Jun 14 2002
About Schmidt,"$30,000,000",Dec 13 2002
The School of Rock,"$20,000,000",Oct 03 2003
School for Scoundrels,"$20,000,000",Sep 29 2006
Scoop,"$4,000,000",Jul 28 2006
The Score,"$68,000,000",Jul 13 2001
Scream,"$15,000,000",Dec 20 1996
Scream 2,"$24,000,000",Dec 12 1997
Scream 3,"$40,000,000",Feb 04 2000
The Scorpion King,"$60,000,000",Apr 19 2002
George A. Romero's Survival of the Dead,"$4,200,000",May 28 2010
Stardust,"$70,000,000",Aug 10 2007
Mar adentro,"$13,300,000",Dec 17 2004
Selena,"$20,000,000",Mar 21 1997
The Sentinel,"$60,000,000",Apr 21 2006
September Dawn,"$10,100,000",Aug 24 2007
You Got Served,"$8,000,000",Jan 30 2004
Serving Sara,"$29,000,000",Aug 23 2002
Session 9,"$1,500,000",Aug 10 2001
Seven Years in Tibet,"$70,000,000",Oct 10 1997
Sex and the City,"$57,500,000",May 30 2008
Swordfish,"$80,000,000",Jun 08 2001
Something's Gotta Give,"$80,000,000",Dec 12 2003
Sugar Town,"$250,000",Sep 17 1999
Shade,"$6,800,000",Apr 09 2004
Shadow of the Vampire,"$8,000,000",Dec 29 2000
Shaft,"$53,012,938",Jun 16 2000
The Shaggy Dog,"$60,000,000",Mar 10 2006
Scary Movie,"$19,000,000",Jul 07 2000
Shaun of the Dead,"$5,000,000",Sep 24 2004
Shortbus,"$2,000,000",Oct 04 2006
She's All That,"$10,000,000",Jan 29 1999
She's the Man,"$25,000,000",Mar 17 2006
Sherrybaby,"$2,000,000",Sep 08 2006
Shallow Hal,"$40,000,000",Nov 09 2001
Silent Hill,"$50,000,000",Apr 21 2006
Shutter Island,"$80,000,000",Feb 19 2010
Shakespeare in Love,"$26,000,000",Dec 11 1998
In the Shadow of the Moon,"$2,000,000",Sep 07 2007
Sherlock Holmes,"$80,000,000",Dec 25 2009
She's Out of My League,"$20,000,000",Mar 12 2010
Shooter,"$60,000,000",Mar 23 2007
Shrek,"$50,000,000",May 18 2001
Shrek 2,"$70,000,000",May 19 2004
Shrek the Third,"$160,000,000",May 18 2007
Shrek Forever After,"$165,000,000",May 21 2010
Shark Tale,"$75,000,000",Oct 01 2004
Shattered Glass,"$6,000,000",Oct 31 2003
Stealing Harvard,"$25,000,000",Sep 13 2002
Showtime,"$85,000,000",Mar 15 2002
Sicko,"$9,000,000",Jun 22 2007
The Siege,"$70,000,000",Nov 06 1998
Signs,"$70,702,619",Aug 02 2002
Simon Birch,"$20,000,000",Sep 11 1998
A Simple Wish,"$28,000,000",Jul 11 1997
The Simpsons Movie,"$72,500,000",Jul 27 2007
Sinbad: Legend of the Seven Seas,"$60,000,000",Jul 02 2003
Sin City,"$40,000,000",Apr 01 2005
The Singing Detective,"$8,000,000",Oct 24 2003
The Sixth Sense,"$40,000,000",Aug 06 1999
Super Size Me,"$65,000",May 07 2004
The Skeleton Key,"$40,000,000",Aug 12 2005
